cam,x_new,y_new,date,time,effort,year,new_name,new_name2
K10,-1880085.173,627354.0873,7/20/2018,23:59:00,92,2018,Lepus americanus,Lepus americanus
E7,-1888580.164,641555.7355,7/24/2018,23:59:00,92,2018,Ursus americanus,Ursus americanus
H7,-1882114.858,639471.5309,7/28/2018,23:59:00,82,2018,Lynx canadensis,Lynx canadensis
H4,-1878684.727,647702.3284,7/30/2018,23:59:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
C6,-1892782.512,646476.8839,7/31/2018,23:59:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/9/2018,23:59:00,92,2018,Lepus americanus,Lepus americanus
C9,-1896888.657,639093.6407,8/12/2018,23:59:00,92,2018,Lynx canadensis,Lynx canadensis
J8,-1878930.298,635002.3583,8/13/2018,23:59:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
L7,-1872993.216,634705.0133,8/17/2018,23:59:00,92,2018,Bos taurus,Bos taurus
J7,-1877477.628,638269.198,8/20/2018,23:59:00,92,2018,Mouse spp,Mouse spp
G3,-1879874.609,648965.6001,7/1/2019,23:59:00,82,2019,Canis lupus,Canis spp
H8,-1883304.901,636786.9785,7/27/2019,23:59:00,81,2019,Lynx canadensis,Lynx canadensis
C6,-1892782.512,646476.8839,8/21/2019,23:59:00,68,2019,Lepus americanus,Lepus americanus
J10a,-1881829.28,630414.9748,7/15/2018,23:58:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
C6,-1892782.512,646476.8839,7/31/2018,23:58:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/9/2018,23:58:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:58:00,92,2018,Bos taurus,Bos taurus
D6,-1888940.981,646096.8555,8/28/2018,23:58:00,92,2018,Lepus americanus,Lepus americanus
I6,-1879235.887,639314.09,9/2/2018,23:58:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
B6,-1894767.195,649227.4085,9/15/2018,23:58:00,92,2018,Lepus americanus,Lepus americanus
G3,-1879874.609,648965.6001,7/1/2019,23:58:00,82,2019,Canis lupus,Canis spp
H8,-1883304.901,636786.9785,7/24/2019,23:58:00,81,2019,Mouse spp,Mouse spp
G3,-1879874.609,648965.6001,8/23/2019,23:58:00,82,2019,Canis lupus,Canis spp
H10,-1886137.733,631694.5691,9/1/2019,23:58:00,92,2019,Odocoileus hemionus,Odocoileus hemionus
E7,-1888580.164,641555.7355,7/6/2018,23:57:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I11,-1885962.223,626594.5185,7/17/2018,23:57:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
F8,-1888851.605,638355.2956,8/4/2018,23:57:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
L7,-1872993.216,634705.0133,8/9/2018,23:57:00,92,2018,Lepus americanus,Lepus americanus
G4,-1881071.787,646909.9374,8/10/2018,23:57:00,92,2018,Canis lupus,Canis spp
G4,-1881071.787,646909.9374,8/10/2018,23:57:00,92,2018,Lynx spp,Lynx spp
I11,-1885962.223,626594.5185,8/15/2018,23:57:00,92,2018,Canis lupus,Canis spp
L7,-1872993.216,634705.0133,8/17/2018,23:57:00,92,2018,Bos taurus,Bos taurus
L8,-1874783.508,631765.9353,9/14/2018,23:57:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,7/18/2019,23:57:00,78,2019,Lepus americanus,Lepus americanus
H8,-1883304.901,636786.9785,7/24/2019,23:57:00,81,2019,Mouse spp,Mouse spp
G3,-1879874.609,648965.6001,8/23/2019,23:57:00,82,2019,Canis lupus,Canis spp
B6,-1894767.195,649227.4085,9/3/2019,23:57:00,80,2019,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/10/2018,23:56:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I11,-1885962.223,626594.5185,7/17/2018,23:56:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
B6,-1894767.195,649227.4085,7/22/2018,23:56:00,92,2018,Lepus americanus,Lepus americanus
D6,-1888940.981,646096.8555,7/24/2018,23:56:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:56:00,92,2018,Bos taurus,Bos taurus
G7,-1884006.847,638999.3152,9/8/2018,23:56:00,92,2018,Martes americana,Martes americana
I9,-1883305.274,631806.718,9/13/2018,23:56:00,64,2018,Lepus americanus,Lepus americanus
K8,-1877717.09,632103.4584,7/10/2019,23:56:00,74,2019,Canis latrans,Canis spp
F5,-1884137.001,646631.5284,7/11/2019,23:56:00,78,2019,Lepus americanus,Lepus americanus
F7,-1886173.329,642418.3807,8/25/2019,23:56:00,79,2019,Weasel spp,Weasel spp
K6,-1874026.487,636563.6014,7/10/2018,23:55:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
B6,-1894767.195,649227.4085,7/17/2018,23:55:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:55:00,92,2018,Bos taurus,Bos taurus
E6,-1888275.346,644761.3461,7/23/2019,23:55:00,68,2019,Canis lupus,Canis spp
H8,-1883304.901,636786.9785,7/26/2019,23:55:00,81,2019,Mouse spp,Mouse spp
K6,-1874026.487,636563.6014,7/10/2018,23:54:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
L7,-1872993.216,634705.0133,8/17/2018,23:54:00,92,2018,Bos taurus,Bos taurus
G6,-1884460.798,642059.6253,8/22/2018,23:54:00,92,2018,Mouse spp,Mouse spp
D6,-1888940.981,646096.8555,8/30/2018,23:54:00,92,2018,Lepus americanus,Lepus americanus
J4,-1873782.831,645136.7258,9/23/2018,23:54:00,92,2018,Lynx canadensis,Lynx canadensis
F9,-1889399.555,636635.0375,7/9/2019,23:54:00,74,2019,Canis latrans,Canis spp
J7,-1877477.628,638269.198,7/16/2019,23:54:00,81,2019,Martes americana,Martes americana
I3,-1875013.96,647529.4259,8/6/2019,23:54:00,66,2019,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/10/2018,23:53:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
F5,-1884137.001,646631.5284,8/6/2018,23:53:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:53:00,92,2018,Bos taurus,Bos taurus
H10,-1886142.369,631694.0589,8/29/2018,23:53:00,92,2018,Canis latrans,Canis spp
K9,-1878172.783,629671.5583,9/16/2018,23:53:00,92,2018,Canis latrans,Canis spp
B6,-1894767.195,649227.4085,9/20/2018,23:53:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,7/3/2019,23:53:00,78,2019,Lepus americanus,Lepus americanus
D7,-1890238.697,644822.9866,7/11/2019,23:53:00,80,2019,Odocoileus hemionus,Odocoileus hemionus
H11,-1887633.167,628985.0788,8/13/2019,23:53:00,74,2019,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/10/2018,23:52:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
K9,-1878172.783,629671.5583,7/28/2018,23:52:00,92,2018,Motor bike,Motor bike
K7,-1875739.423,634429.2378,8/16/2018,23:52:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/13/2018,23:52:00,64,2018,Lepus americanus,Lepus americanus
K9,-1878172.783,629671.5583,7/9/2019,23:52:00,72,2019,Odocoileus hemionus,Odocoileus hemionus
D7,-1890238.697,644822.9866,7/11/2019,23:52:00,80,2019,Odocoileus hemionus,Odocoileus hemionus
F5,-1884137.001,646631.5284,8/21/2019,23:52:00,78,2019,Glaucomys sabrinus,Glaucomys sabrinus
D6,-1888940.981,646096.8555,7/20/2018,23:51:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:51:00,92,2018,Bos taurus,Bos taurus
D6,-1888940.981,646096.8555,9/10/2018,23:51:00,92,2018,Lepus americanus,Lepus americanus
D6,-1888940.981,646096.8555,9/10/2018,23:51:00,92,2018,Mouse spp,Mouse spp
I9,-1883305.274,631806.718,9/13/2018,23:51:00,64,2018,Lepus americanus,Lepus americanus
E5,-1886794.173,645844.4902,9/18/2018,23:51:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
J8,-1878930.298,635002.3583,7/2/2019,23:51:00,83,2019,Odocoileus hemionus,Odocoileus hemionus
L7,-1872993.216,634705.0133,7/15/2019,23:51:00,72,2019,Odocoileus hemionus,Odocoileus hemionus
J8,-1878930.298,635002.3583,7/29/2019,23:51:00,83,2019,Odocoileus hemionus,Odocoileus hemionus
H8,-1883304.901,636786.9785,7/31/2019,23:51:00,81,2019,Mouse spp,Mouse spp
I9,-1883305.274,631806.718,8/31/2019,23:51:00,78,2019,Lepus americanus,Lepus americanus
E4,-1885393.616,648636.1642,7/13/2018,23:50:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,8/4/2018,23:50:00,64,2018,Lepus americanus,Lepus americanus
K7,-1875739.423,634429.2378,8/7/2018,23:50:00,92,2018,Lepus americanus,Lepus americanus
I4,-1876050.135,645426.7338,8/24/2018,23:50:00,60,2018,Lepus americanus,Lepus americanus
E7,-1888580.164,641555.7355,8/30/2018,23:50:00,92,2018,Lepus americanus,Lepus americanus
D6,-1888940.981,646096.8555,9/10/2018,23:50:00,92,2018,Lepus americanus,Lepus americanus
E5,-1886794.173,645844.4902,9/18/2018,23:50:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
E6,-1888275.346,644761.3461,9/29/2018,23:50:00,92,2018,Canis latrans,Canis spp
E7,-1888580.164,641555.7355,8/1/2019,23:50:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,8/26/2019,23:50:00,78,2019,Lepus americanus,Lepus americanus
J9,-1880270.536,631791.3152,8/26/2019,23:50:00,24,2019,Mouse spp,Mouse spp
I8,-1882255.416,633528.8729,9/13/2019,23:50:00,81,2019,Canis latrans,Canis spp
G4,-1881071.787,646909.9374,7/27/2018,23:49:00,92,2018,Canis lupus,Canis spp
I9,-1883305.274,631806.718,8/4/2018,23:49:00,64,2018,Lepus americanus,Lepus americanus
K3,-1870375.371,645060.1601,8/21/2018,23:49:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I4,-1876050.135,645426.7338,8/24/2018,23:49:00,60,2018,Lepus americanus,Lepus americanus
E5,-1886794.173,645844.4902,9/18/2018,23:49:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
G6,-1884460.798,642059.6253,7/2/2019,23:49:00,79,2019,Ursus arctos,Ursus arctos
H7,-1882114.858,639471.5309,8/8/2019,23:49:00,81,2019,Neotoma cinerea,Neotoma cinerea
D9,-1893782.414,639367.225,9/6/2019,23:49:00,74,2019,Lepus americanus,Lepus americanus
D7,-1890238.697,644822.9866,7/22/2018,23:48:00,92,2018,Mouse spp,Mouse spp
F8,-1888851.605,638355.2956,7/22/2018,23:48:00,92,2018,Bat species,Bat species
K6,-1874026.487,636563.6014,7/29/2018,23:48:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D6,-1888940.981,646096.8555,7/31/2018,23:48:00,92,2018,Lepus americanus,Lepus americanus
J7,-1877477.628,638269.198,8/23/2018,23:48:00,92,2018,Mouse spp,Mouse spp
I4,-1876050.135,645426.7338,8/24/2018,23:48:00,60,2018,Lepus americanus,Lepus americanus
F7,-1886173.329,642418.3807,9/2/2018,23:48:00,92,2018,Lepus americanus,Lepus americanus
K3,-1870375.371,645060.1601,9/6/2018,23:48:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,9/16/2018,23:48:00,64,2018,Lepus americanus,Lepus americanus
E4,-1885393.616,648636.1642,9/17/2018,23:48:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/17/2018,23:48:00,64,2018,Lepus americanus,Lepus americanus
E5,-1886794.173,645844.4902,9/18/2018,23:48:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D7,-1890238.697,644822.9866,9/20/2018,23:48:00,92,2018,Lepus americanus,Lepus americanus
I3,-1875013.96,647529.4259,8/13/2019,23:48:00,66,2019,Canis lupus,Canis spp
F5,-1884137.001,646631.5284,7/11/2018,23:47:00,92,2018,Mouse spp,Mouse spp
I9,-1883305.274,631806.718,8/21/2018,23:47:00,64,2018,Equus caballus,Equus caballus
I9,-1883305.274,631806.718,9/3/2018,23:47:00,64,2018,Lepus americanus,Lepus americanus
K7,-1875739.423,634429.2378,9/3/2018,23:47:00,92,2018,Mouse spp,Mouse spp
G9,-1888376.282,633876.6079,9/11/2018,23:47:00,77,2018,Odocoileus hemionus,Odocoileus hemionus
H8,-1883304.901,636786.9785,9/1/2019,23:47:00,81,2019,Mouse spp,Mouse spp
F5,-1884137.001,646631.5284,7/11/2018,23:46:00,92,2018,Mouse spp,Mouse spp
D6,-1888940.981,646096.8555,7/31/2018,23:46:00,92,2018,Lepus americanus,Lepus americanus
D7,-1890238.697,644822.9866,8/2/2018,23:46:00,92,2018,Mustela erminea,Mustela erminea
I9,-1883305.274,631806.718,8/21/2018,23:46:00,64,2018,Equus caballus,Equus caballus
I4,-1876050.135,645426.7338,8/22/2018,23:46:00,60,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/3/2018,23:46:00,64,2018,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/3/2019,23:46:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
I3,-1875013.96,647529.4259,8/16/2019,23:46:00,66,2019,Canis lupus,Canis spp
H10,-1886137.733,631694.5691,9/23/2019,23:46:00,92,2019,Ursus americanus,Ursus americanus
K3,-1870375.371,645060.1601,7/4/2018,23:45:00,92,2018,Lynx spp,Lynx spp
G6,-1884460.798,642059.6253,7/19/2018,23:45:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
K3,-1870375.371,645060.1601,7/22/2018,23:45:00,92,2018,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/29/2018,23:45:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I4,-1876050.135,645426.7338,8/22/2018,23:45:00,60,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/16/2018,23:45:00,64,2018,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/3/2019,23:45:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
J4,-1873782.831,645136.7258,8/28/2019,23:45:00,75,2019,Neotoma cinerea,Neotoma cinerea
K7,-1875739.423,634429.2378,7/5/2018,23:44:00,92,2018,Mouse spp,Mouse spp
D7,-1890238.697,644822.9866,7/13/2018,23:44:00,92,2018,Mouse spp,Mouse spp
K6,-1874026.487,636563.6014,7/29/2018,23:44:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D7,-1890238.697,644822.9866,8/4/2018,23:44:00,92,2018,Mouse spp,Mouse spp
D7,-1890238.697,644822.9866,9/3/2018,23:44:00,92,2018,Mouse spp,Mouse spp
G9,-1888376.282,633876.6079,9/11/2018,23:44:00,77,2018,Odocoileus hemionus,Odocoileus hemionus
C9,-1896888.657,639093.6407,9/25/2018,23:44:00,92,2018,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,7/3/2019,23:44:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
E4,-1885393.616,648636.1642,7/23/2019,23:44:00,78,2019,Odocoileus hemionus,Odocoileus hemionus
C9,-1896888.657,639093.6407,8/9/2019,23:44:00,74,2019,Lepus americanus,Lepus americanus
F7,-1886173.329,642418.3807,8/23/2019,23:44:00,79,2019,Lynx canadensis,Lynx canadensis
G3,-1879874.609,648965.6001,7/3/2018,23:43:00,92,2018,Canis lupus,Canis spp
K4,-1871738.78,642413.4576,7/14/2018,23:43:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
C9,-1896888.657,639093.6407,7/28/2018,23:43:00,92,2018,Alces alces,Alces alces
C6,-1892782.512,646476.8839,8/21/2018,23:43:00,92,2018,Lepus americanus,Lepus americanus
H8,-1883304.901,636786.9785,7/15/2019,23:43:00,81,2019,Mouse spp,Mouse spp
E4,-1885393.616,648636.1642,7/23/2019,23:43:00,78,2019,Odocoileus hemionus,Odocoileus hemionus
G6,-1884460.798,642059.6253,7/23/2019,23:43:00,79,2019,Odocoileus hemionus,Odocoileus hemionus
H4,-1878684.727,647702.3284,8/15/2019,23:43:00,82,2019,Odocoileus hemionus,Odocoileus hemionus
D7,-1890238.697,644822.9866,7/20/2018,23:42:00,92,2018,Mouse spp,Mouse spp
C9,-1896888.657,639093.6407,7/28/2018,23:42:00,92,2018,Alces alces,Alces alces
H4,-1878684.727,647702.3284,9/2/2018,23:42:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D6,-1888940.981,646096.8555,9/10/2018,23:42:00,92,2018,Lepus americanus,Lepus americanus
B6,-1894767.195,649227.4085,9/15/2018,23:42:00,92,2018,Lepus americanus,Lepus americanus
G7,-1884006.847,638999.3152,9/17/2018,23:42:00,92,2018,Lepus americanus,Lepus americanus
H4,-1878684.727,647702.3284,8/15/2019,23:42:00,82,2019,Odocoileus hemionus,Odocoileus hemionus
D6,-1888940.981,646096.8555,7/5/2018,23:41:00,92,2018,Mouse spp,Mouse spp
D7,-1890238.697,644822.9866,7/15/2018,23:41:00,92,2018,Mouse spp,Mouse spp
L7,-1872993.216,634705.0133,8/8/2018,23:41:00,92,2018,Lepus americanus,Lepus americanus
E4,-1885393.616,648636.1642,8/18/2018,23:41:00,92,2018,Canis lupus,Canis spp
H4,-1878684.727,647702.3284,9/2/2018,23:41:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I3,-1875013.96,647529.4259,7/9/2019,23:41:00,66,2019,Lepus americanus,Lepus americanus
I4,-1876050.135,645426.7338,7/24/2019,23:41:00,76,2019,Odocoileus hemionus,Odocoileus hemionus
K8,-1877717.09,632103.4584,7/28/2019,23:41:00,74,2019,Quad quad,Quad quad
H4,-1878684.727,647702.3284,8/15/2019,23:41:00,82,2019,Odocoileus hemionus,Odocoileus hemionus
E6,-1888275.346,644761.3461,9/17/2019,23:41:00,68,2019,Lepus americanus,Lepus americanus
J10a,-1881829.28,630414.9748,7/26/2018,23:40:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
D6,-1888940.981,646096.8555,8/4/2018,23:40:00,92,2018,Lepus americanus,Lepus americanus
E4,-1885393.616,648636.1642,8/18/2018,23:40:00,92,2018,Canis lupus,Canis spp
H4,-1878684.727,647702.3284,9/2/2018,23:40:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,9/4/2018,23:40:00,64,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/16/2018,23:40:00,64,2018,Lepus americanus,Lepus americanus
G6,-1884460.798,642059.6253,9/16/2018,23:40:00,92,2018,Mouse spp,Mouse spp
I3,-1875013.96,647529.4259,7/20/2019,23:40:00,66,2019,Canis lupus,Canis spp
K6,-1874026.487,636563.6014,8/7/2019,23:40:00,81,2019,Equus caballus,Equus caballus
H4,-1878684.727,647702.3284,8/15/2019,23:40:00,82,2019,Odocoileus hemionus,Odocoileus hemionus
D9,-1893782.414,639367.225,9/10/2019,23:40:00,74,2019,Lepus americanus,Lepus americanus
D6,-1888940.981,646096.8555,7/18/2018,23:39:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:39:00,92,2018,Bos taurus,Bos taurus
I9,-1883305.274,631806.718,8/20/2018,23:39:00,64,2018,Canis latrans,Canis spp
E5,-1886794.173,645844.4902,8/23/2018,23:39:00,92,2018,Lepus americanus,Lepus americanus
J7,-1877477.628,638269.198,9/12/2018,23:39:00,92,2018,Mouse spp,Mouse spp
B6,-1894767.195,649227.4085,9/19/2018,23:39:00,92,2018,Lepus americanus,Lepus americanus
E7,-1888580.164,641555.7355,7/30/2019,23:39:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
C9,-1896888.657,639093.6407,8/5/2019,23:39:00,74,2019,Lepus americanus,Lepus americanus
K6,-1874026.487,636563.6014,8/7/2019,23:39:00,81,2019,Equus caballus,Equus caballus
G7,-1884006.847,638999.3152,9/11/2019,23:39:00,72,2019,Canis lupus,Canis spp
F5,-1884137.001,646631.5284,7/7/2018,23:38:00,92,2018,Lepus americanus,Lepus americanus
D7,-1890238.697,644822.9866,7/13/2018,23:38:00,92,2018,Mouse spp,Mouse spp
D6,-1888940.981,646096.8555,7/29/2018,23:38:00,92,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,9/13/2018,23:38:00,64,2018,Lepus americanus,Lepus americanus
I9,-1883305.274,631806.718,7/23/2019,23:38:00,78,2019,Canis latrans,Canis spp
E7,-1888580.164,641555.7355,7/30/2019,23:38:00,81,2019,Odocoileus hemionus,Odocoileus hemionus
G7,-1884006.847,638999.3152,9/11/2019,23:38:00,72,2019,Canis lupus,Canis spp
H4,-1878684.727,647702.3284,9/13/2019,23:38:00,82,2019,Odocoileus hemionus,Odocoileus hemionus
C9,-1896888.657,639093.6407,7/21/2018,23:37:00,92,2018,Lepus americanus,Lepus americanus
K10,-1880085.173,627354.0873,7/21/2018,23:37:00,92,2018,Ursus arctos,Ursus arctos
E6,-1888275.346,644761.3461,8/6/2018,23:37:00,92,2018,Lepus americanus,Lepus americanus
K7,-1875739.423,634429.2378,8/7/2018,23:37:00,92,2018,Lepus americanus,Lepus americanus
L7,-1872993.216,634705.0133,8/17/2018,23:37:00,92,2018,Bos taurus,Bos taurus
I9,-1883305.274,631806.718,8/20/2018,23:37:00,64,2018,Canis latrans,Canis spp
F5,-1884137.001,646631.5284,8/28/2018,23:37:00,92,2018,Mouse spp,Mouse spp
C9,-1896888.657,639093.6407,9/14/2018,23:37:00,92,2018,Lepus americanus,Lepus americanus
I3,-1875013.96,647529.4259,7/19/2019,23:37:00,66,2019,Canis lupus,Canis spp
G6,-1884460.798,642059.6253,8/8/2019,23:37:00,79,2019,Lynx canadensis,Lynx canadensis
L7,-1872993.216,634705.0133,7/15/2018,23:36:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
I9,-1883305.274,631806.718,8/20/2018,23:36:00,64,2018,Canis latrans,Canis spp
F9,-1889399.555,636635.0375,7/18/2019,23:36:00,74,2019,Odocoileus hemionus,Odocoileus hemionus
H8,-1883304.901,636786.9785,7/22/2019,23:36:00,81,2019,Mouse spp,Mouse spp
I9,-1883305.274,631806.718,7/24/2019,23:36:00,78,2019,Lepus americanus,Lepus americanus
D7,-1890238.697,644822.9866,8/23/2019,23:36:00,80,2019,Martes pennanti,Martes pennanti
J7,-1877477.628,638269.198,8/27/2019,23:36:00,81,2019,Martes americana,Martes americana
G6,-1884460.798,642059.6253,7/2/2018,23:35:00,92,2018,Lepus americanus,Lepus americanus
D5,-1887547.811,650107.4012,7/5/2018,23:35:00,31,2018,Lepus americanus,Lepus americanus
H7,-1882114.858,639471.5309,7/31/2018,23:35:00,82,2018,Canis lupus,Canis spp
J7,-1877477.628,638269.198,7/11/2019,23:35:00,81,2019,Martes americana,Martes americana
C6,-1892782.512,646476.8839,7/8/2018,23:34:00,92,2018,Lepus americanus,Lepus americanus
D5,-1887547.811,650107.4012,7/17/2018,23:34:00,31,2018,Canis lupus,Canis spp
I5,-1878258.239,642985.5725,7/22/2018,23:34:00,92,2018,Canis lupus,Canis spp
K10,-1880085.173,627354.0873,8/1/2018,23:34:00,92,2018,Odocoileus hemionus,Odocoileus hemionus
J9,-1880270.536,631791.3152,8/6/2018,23:34:00,92,2018,Mouse spp,Mouse spp
C9,-1896888.657,639093.6407,9/19/2018,23:34:00,92,2018,Canis latrans,Canis spp
H8,-1883304.901,636786.9785,7/21/2019,23:34:00,81,2019,Mouse spp,Mouse spp
D5,-1887543.935,650116.4388,9/10/2019,23:34:00,78,2019,Canis lupus,Canis spp
F5,-1884137.001,646631.5284,7/24/2018,23:33:00,92,2018,Lepus americanus,Lepus americanus
G6,-1884460.798,642059.6253,8/12/2018,23:33:00,92,2018,Mouse spp,Mouse spp
D7,-1890238.697,644822.9866,9/1/2018,23:33:00,92,2018,Glaucomys sabrinus,Glaucomys sabrinus
B6,-1894767.195,649227.4085,7/10/2019,23:33:00,80,2019,Odocoileus hemionus,Odocoileus hemionus
J7,-1877477.628,638269.198,7/21/2019,23:33:00,81,2019,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus
I9,-1883305.274,631806.718,7/24/2019,23:33:00,78,2019,Lepus americanus,Lepus americanus
K9,-1878172.783,629671.5583,8/25/2019,23:33:00,72,2019,Odocoileus hemionus,Odocoileus hemionus
D5,-1887543.935,650116.4388,9/10/2019,23:33:00,78,2019,Canis lupus,Canis spp
