id,taxa,qdna,det.dna,x,y,time,year,rain,vol,duration,aws
SPY182347,Ursus americanus,3506,1,-1889498.6349269203,637402.7066693123,45660,2018,4.32,30,30,24391
SPY182342,Ursus americanus,0,0,-1872259.9853935558,638208.386757471,30660,2018,6.32,30,30,8473
SPY182343,Ursus americanus,11848,1,-1878619.387881914,644666.7863930906,48900,2018,1.29,30,30,622
SPY182346,Ursus americanus,0,0,-1894521.9646007675,639513.0296144779,38220,2018,4.32,30,30,14782
SPY182322,Ursus americanus,3159,1,-1884823.795700936,631095.5622741481,60120,2018,6.45,23,23,49052
SPY182315,Ursus americanus,3127,1,-1872376.927307288,638287.277159479,37200,2018,28.9,26,26,48075
SPY182324,Ursus americanus,4352,1,-1879502.3163255868,626973.0146494143,51600,2018,6.45,19,19,58773
SPY182334,Ursus americanus,0,0,-1874123.0674552463,635202.0819938293,41460,2018,6.32,30,30,916
SPY182339,Ursus americanus,0,0,-1873013.200882418,634282.6189700423,37500,2018,6.32,30,30,71
SPY182307,Ursus americanus,0,0,-1872815.2865253536,637017.2749622166,42840,2018,28.9,30,30,442
SPY182308,Ursus americanus,4524,1,-1872815.2865253536,637017.2749622166,42840,2018,28.9,30,30,442
SPY182333,Ursus americanus,0,0,-1888455.8273873653,636668.2202987336,57720,2018,0,30,30,2978
SPY182311,Ursus americanus,7338,1,-1872376.927307288,638287.277159479,37200,2018,28.9,19,19,48075
SPY182336,Ursus americanus,0,0,-1884565.0583239163,646091.2505724181,59220,2018,9.1,30,30,1324
SPY182344,Ursus americanus,0,0,-1875462.769158203,632329.151549705,48900,2018,6.32,30,30,1558
SPY182338,Ursus americanus,0,0,-1873043.9461686034,636526.80378797,45060,2018,6.32,30,30,60379
SPY182345,Ursus americanus,0,0,-1882948.9080541097,628839.470218002,53400,2018,4.32,30,30,4716
SPY182354,Ursus americanus,2421,1,-1888116.1918986673,633286.5321436618,49020,2018,4.32,12,12,47422
SPY182323,Ursus americanus,1949,1,-1872409.4180837814,643322.7962126095,58560,2018,1.29,30,30,21877
SPY182325,Ursus americanus,0,0,-1889211.150559235,638341.6898563786,51900,2018,0,30,30,17288
SPY182317,Ursus americanus,3408,1,-1879502.3163255868,626973.0146494143,51600,2018,6.45,19,19,58773
SPY182337,Ursus americanus,42382,1,-1880747.5678669096,630249.225964425,60000,2018,6.32,30,30,1612
SPY182303,Ursus americanus,0,0,-1883476.2329967695,639723.3006314808,43380,2018,0,30,30,610
SPY182326,Ursus americanus,0,0,-1893814.8004318958,647704.9429821153,43740,2018,1.64,30,30,197
SPY182123,Ursus americanus,0,0,-1884142.3915841933,638303.4464264871,58560,2018,0,30,30,1046
SPY182312,Ursus americanus,0,0,-1884751.1723081511,631085.9377729186,64860,2018,6.45,30,30,636
SPY182309,Ursus americanus,0,0,-1876447.111688003,637968.8477827876,28860,2018,0,30,30,1831
SPY182318,Ursus americanus,0,0,-1872194.512367005,642795.9828268241,61560,2018,1.29,30,30,5501
SPY182314,Ursus americanus,0,0,-1871715.3797168825,641682.9104419531,66600,2018,1.29,30,30,172
SPY182310,Ursus americanus,1160,1,-1881189.0857007348,633260.4573893596,61680,2018,28.9,30,30,741
SPY182304,Ursus americanus,0,0,-1881663.2653500105,647192.2753899834,61620,2018,22.82,30,30,501
SPY182341,Ursus americanus,6073,1,-1877494.4074851018,632265.3730589218,52740,2018,6.32,30,30,448
SPY182349,Ursus americanus,4576,1,-1877494.4074851018,632265.3730589218,52740,2018,6.32,30,30,448
SPY182351,Ursus americanus,0,0,-1882661.3909303022,630278.3227711141,67020,2018,4.32,30,30,776
SPY182329,Ursus americanus,0,0,-1872194.512367005,642795.9828268241,61560,2018,1.29,30,30,5501
SPY182330,Ursus americanus,0,0,-1888610.1948707053,641257.1296165002,38880,2018,0,30,30,599
SPY182353,Ursus americanus,0,0,-1881453.8952357692,628738.0135403159,58440,2018,2.26,10,10,92
SPY182335,Ursus americanus,0,0,-1887699.7219386192,643355.363802098,33360,2018,0,30,30,426
SPY182332,Ursus americanus,0,0,-1888455.8273873653,636668.2202987336,57720,2018,0,30,30,2978
SPY182348,Ursus americanus,5019,1,-1887809.9591278557,628346.7941849869,29880,2018,4.32,30,30,808
SPY182135,Ursus americanus,0,0,-1885312.618268282,648590.7175102865,54060,2018,22.82,30,30,431
SPY182328,Ursus americanus,0,0,-1874416.1785009927,648721.5045194301,39720,2018,1.29,30,30,309
SPY182350,Ursus americanus,1535,1,-1887809.9591278557,628346.7941849869,32160,2018,4.32,30,30,808
SPY182331,Ursus americanus,0,0,-1890228.1577858408,644692.8676272128,56400,2018,1.64,10,10,86
SPY182340,Ursus americanus,0,0,-1893430.0531133132,639046.7882606551,41280,2018,4.32,30,30,681
SPY182319,Ursus americanus,0,0,-1876746.529121195,644070.2189924339,52080,2018,1.29,30,30,664
SPY182352,Ursus americanus,0,0,-1882661.3909303022,630278.3227711141,67020,2018,2.26,30,30,776
SPY182313,Ursus americanus,0,0,-1876170.274788579,651859.4089402469,36240,2018,1.29,30,30,1798
SPY182305,Ursus americanus,0,0,-1883303.7229015683,636970.7509509552,52980,2018,0,30,30,224
SPY182327,Ursus americanus,0,0,-1891894.4805402337,646223.808613582,50520,2018,1.64,30,30,410
SPY180858,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,61620,2019,1.7,79,300,58773
SPY181775,Ursus americanus,2912,1,-1879502.3163255868,626973.0146494143,73800,2019,10.8,57,360,58773
SPY182103,Ursus americanus,913,1,-1872376.927307288,638287.277159479,43380,2019,10.4,73,300,48075
SPY182117,Ursus americanus,2331,1,-1879502.3163255868,626973.0146494143,26400,2019,8.9,31,120,58773
SPY182129,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,73800,2019,10.8,58,360,58773
SPY182266,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,43080,2019,1.7,74,300,58773
SPY182287,Ursus americanus,567,1,-1879502.3163255868,626973.0146494143,43080,2019,1.7,76,300,58773
SPY182306,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,61620,2019,1.7,71,300,58773
SPY192781,Ursus americanus,2602,1,-1872376.927307288,638287.277159479,60480,2019,30.4,79,300,48075
SPY192782,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,60720,2019,10.8,78,300,58773
SPY192783,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,60720,2019,10.8,77,300,58773
SPY192784,Ursus americanus,236,1,-1879502.3163255868,626973.0146494143,64200,2019,4.6,79,300,58773
SPY192786,Ursus americanus,3092,1,-1872376.927307288,638287.277159479,43200,2019,22.6,75,300,48075
SPY192789,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,64200,2019,4.6,80,300,58773
SPY192790,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,42300,2019,10.8,76,300,58773
SPY192794,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,45960,2019,4.6,75,300,58773
SPY192798,Ursus americanus,192,1,-1872376.927307288,638287.277159479,43200,2019,22.6,76,300,48075
SPY180856,Ursus americanus,560,1,-1872376.927307288,638287.277159479,61200,2019,8.9,55,120,48075
SPY182104,Ursus americanus,1255,1,-1872376.927307288,638287.277159479,42120,2019,30.4,78,300,48075
SPY182105,Ursus americanus,730,1,-1872376.927307288,638287.277159479,42120,2019,30.4,75,300,48075
SPY182106,Ursus americanus,0,0,-1872376.927307288,638287.277159479,61800,2019,10.4,76,300,48075
SPY182111,Ursus americanus,0,0,-1872376.927307288,638287.277159479,61800,2019,10.4,79,300,48075
SPY182113,Ursus americanus,0,0,-1872376.927307288,638287.277159479,52620,2019,8.9,66,300,48075
SPY182115,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,48600,2019,10.8,24,30,58773
SPY182126,Ursus americanus,260,1,-1879502.3163255868,626973.0146494143,26400,2019,8.9,36,120,58773
SPY182134,Ursus americanus,755,1,-1872376.927307288,638287.277159479,43380,2019,10.4,74,300,48075
SPY182138,Ursus americanus,0,0,-1872376.927307288,638287.277159479,64800,2019,8.9,26,30,48075
SPY182267,Ursus americanus,1993,1,-1872376.927307288,638287.277159479,61200,2019,8.9,54,120,48075
SPY182272,Ursus americanus,299,1,-1872376.927307288,638287.277159479,52620,2019,8.9,59,300,48075
SPY192779,Ursus americanus,600,1,-1872376.927307288,638287.277159479,61440,2019,22.6,79,300,48075
SPY192791,Ursus americanus,49,1,-1872376.927307288,638287.277159479,60480,2019,30.4,79,300,48075
SPY192792,Ursus americanus,1020,1,-1872376.927307288,638287.277159479,61440,2019,22.6,80,300,48075
SPY182114,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,48600,2019,10.8,24,30,58773
SPY182124,Ursus americanus,0,0,-1872376.927307288,638287.277159479,64800,2019,8.9,25,30,48075
SPY192797,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,42300,2019,10.8,74,300,58773
SPY192800,Ursus americanus,0,0,-1879502.3163255868,626973.0146494143,45960,2019,4.6,77,300,58773
SPY182347,Ursus arctos,8995,1,-1889498.6349269203,637402.7066693123,45660,2018,4.32,30,30,24391
SPY182342,Ursus arctos,0,0,-1872259.9853935558,638208.386757471,30660,2018,6.32,30,30,8473
SPY182343,Ursus arctos,0,0,-1878619.387881914,644666.7863930906,48900,2018,1.29,30,30,622
SPY182346,Ursus arctos,11568,1,-1894521.9646007675,639513.0296144779,38220,2018,4.32,30,30,14782
SPY182322,Ursus arctos,6879,1,-1884823.795700936,631095.5622741481,60120,2018,6.45,23,23,49052
SPY182315,Ursus arctos,1783,1,-1872376.927307288,638287.277159479,37200,2018,28.9,26,26,48075
SPY182324,Ursus arctos,11549,1,-1879502.3163255868,626973.0146494143,51600,2018,6.45,19,19,58773
SPY182334,Ursus arctos,0,0,-1874123.0674552463,635202.0819938293,41460,2018,6.32,30,30,916
SPY182339,Ursus arctos,0,0,-1873013.200882418,634282.6189700423,37500,2018,6.32,30,30,71
SPY182307,Ursus arctos,0,0,-1872815.2865253536,637017.2749622166,42840,2018,28.9,30,30,442
SPY182308,Ursus arctos,0,0,-1872815.2865253536,637017.2749622166,42840,2018,28.9,30,30,442
SPY182333,Ursus arctos,0,0,-1888455.8273873653,636668.2202987336,57720,2018,0,30,30,2978
SPY182311,Ursus arctos,644,1,-1872376.927307288,638287.277159479,37200,2018,28.9,19,19,48075
SPY182336,Ursus arctos,0,0,-1884565.0583239163,646091.2505724181,59220,2018,9.1,30,30,1324
SPY182344,Ursus arctos,0,0,-1875462.769158203,632329.151549705,48900,2018,6.32,30,30,1558
SPY182338,Ursus arctos,7868,1,-1873043.9461686034,636526.80378797,45060,2018,6.32,30,30,60379
SPY182345,Ursus arctos,0,0,-1882948.9080541097,628839.470218002,53400,2018,4.32,30,30,4716
SPY182354,Ursus arctos,3326,1,-1888116.1918986673,633286.5321436618,49020,2018,4.32,12,12,47422
SPY182323,Ursus arctos,0,0,-1872409.4180837814,643322.7962126095,58560,2018,1.29,30,30,21877
SPY182325,Ursus arctos,21130,1,-1889211.150559235,638341.6898563786,51900,2018,0,30,30,17288
SPY182317,Ursus arctos,2266,1,-1879502.3163255868,626973.0146494143,51600,2018,6.45,19,19,58773
SPY182337,Ursus arctos,0,0,-1880747.5678669096,630249.225964425,60000,2018,6.32,30,30,1612
SPY182303,Ursus arctos,0,0,-1883476.2329967695,639723.3006314808,43380,2018,0,30,30,610
SPY182326,Ursus arctos,4248,1,-1893814.8004318958,647704.9429821153,43740,2018,1.64,30,30,197
SPY182123,Ursus arctos,0,0,-1884142.3915841933,638303.4464264871,58560,2018,0,30,30,1046
SPY182312,Ursus arctos,0,0,-1884751.1723081511,631085.9377729186,64860,2018,6.45,30,30,636
SPY182309,Ursus arctos,0,0,-1876447.111688003,637968.8477827876,28860,2018,0,30,30,1831
SPY182318,Ursus arctos,0,0,-1872194.512367005,642795.9828268241,61560,2018,1.29,30,30,5501
SPY182314,Ursus arctos,0,0,-1871715.3797168825,641682.9104419531,66600,2018,1.29,30,30,172
SPY182310,Ursus arctos,1156,1,-1881189.0857007348,633260.4573893596,61680,2018,28.9,30,30,741
